x,y70,y60,y50,y40,y30,y20,y10
1.064453,6.01E-07,3.68E-07,1.45E-07,-8.93E-08,-2.66E-07,-2.86E-07,-3.91E-07
1.069336,6.81E-07,4.44E-07,2.09E-07,-3.48E-08,-2.22E-07,-2.45E-07,-3.71E-07
1.074219,7.61E-07,5.17E-07,2.72E-07,1.74E-08,-1.80E-07,-2.04E-07,-3.53E-07
1.079102,8.39E-07,5.87E-07,3.35E-07,6.92E-08,-1.39E-07,-1.63E-07,-3.37E-07
1.083984,9.17E-07,6.57E-07,3.99E-07,1.17E-07,-9.98E-08,-1.22E-07,-3.22E-07
1.088867,9.93E-07,7.26E-07,4.63E-07,1.68E-07,-6.06E-08,-8.12E-08,-3.08E-07
1.09375,1.07E-06,7.94E-07,5.26E-07,2.18E-07,-2.26E-08,-4.14E-08,-2.97E-07
1.098633,1.14E-06,8.61E-07,5.87E-07,2.65E-07,1.39E-08,2.03E-10,-2.88E-07
1.103516,1.22E-06,9.29E-07,6.48E-07,3.17E-07,5.04E-08,4.20E-08,-2.80E-07
1.108398,1.30E-06,1.00E-06,7.11E-07,3.67E-07,8.80E-08,8.76E-08,-2.71E-07
1.113281,1.37E-06,1.07E-06,7.74E-07,4.16E-07,1.24E-07,1.32E-07,-2.64E-07
1.118164,1.45E-06,1.14E-06,8.36E-07,4.64E-07,1.58E-07,1.74E-07,-2.61E-07
1.123047,1.52E-06,1.21E-06,9.00E-07,5.13E-07,1.97E-07,2.19E-07,-2.57E-07
1.12793,1.60E-06,1.28E-06,9.67E-07,5.64E-07,2.35E-07,2.65E-07,-2.53E-07
1.132813,1.68E-06,1.35E-06,1.03E-06,6.15E-07,2.72E-07,3.10E-07,-2.51E-07
1.137695,1.76E-06,1.42E-06,1.10E-06,6.74E-07,3.15E-07,3.62E-07,-2.47E-07
1.142578,1.84E-06,1.49E-06,1.17E-06,7.29E-07,3.60E-07,4.13E-07,-2.41E-07
1.147461,1.92E-06,1.57E-06,1.24E-06,7.90E-07,4.04E-07,4.63E-07,-2.37E-07
1.152344,2.00E-06,1.65E-06,1.32E-06,8.49E-07,4.54E-07,5.18E-07,-2.23E-07
1.157227,2.08E-06,1.73E-06,1.39E-06,9.14E-07,5.05E-07,5.72E-07,-2.14E-07
1.162109,2.17E-06,1.80E-06,1.47E-06,9.81E-07,5.60E-07,6.28E-07,-2.05E-07
1.166992,2.24E-06,1.88E-06,1.55E-06,1.05E-06,6.17E-07,6.87E-07,-1.91E-07
1.171875,2.32E-06,1.96E-06,1.63E-06,1.12E-06,6.75E-07,7.44E-07,-1.76E-07
1.176758,2.40E-06,2.04E-06,1.71E-06,1.19E-06,7.40E-07,8.07E-07,-1.54E-07
