E (V),Av. I2 0uL,Av. I2 30uL,Av. I2 40uL,Av. I2 50uL,Av. I2 60uL,Av. I2 70uL
1.044922,3.52E-06,3.28E-06,3.19E-06,3.18E-06,3.2E-06,3.27E-06
1.049805,3.52E-06,3.3E-06,3.21E-06,3.21E-06,3.23E-06,3.31E-06
1.054688,3.53E-06,3.32E-06,3.24E-06,3.23E-06,3.26E-06,3.35E-06
1.05957,3.54E-06,3.34E-06,3.26E-06,3.26E-06,3.3E-06,3.39E-06
1.064453,3.55E-06,3.36E-06,3.28E-06,3.29E-06,3.33E-06,3.43E-06
1.069336,3.56E-06,3.39E-06,3.31E-06,3.32E-06,3.37E-06,3.47E-06
1.074219,3.58E-06,3.41E-06,3.34E-06,3.36E-06,3.4E-06,3.52E-06
1.079102,3.59E-06,3.44E-06,3.37E-06,3.39E-06,3.45E-06,3.56E-06
1.083984,3.61E-06,3.47E-06,3.41E-06,3.43E-06,3.49E-06,3.61E-06
1.088867,3.63E-06,3.51E-06,3.44E-06,3.47E-06,3.54E-06,3.67E-06
1.09375,3.66E-06,3.54E-06,3.48E-06,3.52E-06,3.59E-06,3.73E-06
1.098633,3.69E-06,3.58E-06,3.52E-06,3.57E-06,3.64E-06,3.79E-06
1.103516,3.72E-06,3.62E-06,3.57E-06,3.62E-06,3.7E-06,3.86E-06
1.108398,3.75E-06,3.67E-06,3.62E-06,3.67E-06,3.76E-06,3.93E-06
1.113281,3.78E-06,3.72E-06,3.67E-06,3.73E-06,3.82E-06,4.01E-06
1.118164,3.82E-06,3.77E-06,3.72E-06,3.79E-06,3.89E-06,4.09E-06
1.123047,3.87E-06,3.83E-06,3.79E-06,3.86E-06,3.97E-06,4.18E-06
1.12793,3.92E-06,3.89E-06,3.85E-06,3.94E-06,4.05E-06,4.28E-06
1.132813,3.97E-06,3.96E-06,3.92E-06,4.02E-06,4.14E-06,4.38E-06
1.137695,4.03E-06,4.03E-06,4E-06,4.1E-06,4.24E-06,4.49E-06
1.142578,4.09E-06,4.11E-06,4.08E-06,4.19E-06,4.34E-06,4.62E-06
1.147461,4.15E-06,4.19E-06,4.16E-06,4.29E-06,4.44E-06,4.74E-06
1.152344,4.22E-06,4.28E-06,4.25E-06,4.39E-06,4.56E-06,4.88E-06
1.157227,4.3E-06,4.37E-06,4.35E-06,4.5E-06,4.68E-06,5.02E-06
1.162109,4.38E-06,4.47E-06,4.46E-06,4.62E-06,4.82E-06,5.17E-06
1.166992,4.46E-06,4.57E-06,4.57E-06,4.74E-06,4.95E-06,5.33E-06
1.171875,4.55E-06,4.68E-06,4.68E-06,4.87E-06,5.1E-06,5.49E-06
1.176758,4.64E-06,4.8E-06,4.8E-06,5.01E-06,5.25E-06,5.66E-06
1.181641,4.74E-06,4.92E-06,4.93E-06,5.15E-06,5.4E-06,5.83E-06
1.186523,4.84E-06,5.04E-06,5.06E-06,5.29E-06,5.56E-06,6E-06
1.191406,4.95E-06,5.17E-06,5.2E-06,5.44E-06,5.72E-06,6.18E-06
1.196289,5.05E-06,5.3E-06,5.34E-06,5.59E-06,5.88E-06,6.36E-06
1.201172,5.16E-06,5.43E-06,5.48E-06,5.75E-06,6.05E-06,6.54E-06
1.206055,5.28E-06,5.57E-06,5.62E-06,5.9E-06,6.22E-06,6.71E-06
1.210938,5.39E-06,5.7E-06,5.77E-06,6.06E-06,6.38E-06,6.88E-06
1.21582,5.51E-06,5.84E-06,5.92E-06,6.21E-06,6.55E-06,7.05E-06
1.220703,5.62E-06,5.98E-06,6.06E-06,6.37E-06,6.71E-06,7.21E-06
1.225586,5.74E-06,6.11E-06,6.2E-06,6.52E-06,6.87E-06,7.36E-06
1.230469,5.86E-06,6.25E-06,6.35E-06,6.67E-06,7.02E-06,7.5E-06
1.235352,5.97E-06,6.39E-06,6.49E-06,6.82E-06,7.16E-06,7.64E-06
1.240234,6.09E-06,6.52E-06,6.63E-06,6.95E-06,7.3E-06,7.76E-06
1.245117,6.21E-06,6.65E-06,6.76E-06,7.09E-06,7.43E-06,7.87E-06
1.25,6.32E-06,6.78E-06,6.89E-06,7.21E-06,7.55E-06,7.97E-06
1.254883,6.44E-06,6.9E-06,7.01E-06,7.33E-06,7.66E-06,8.06E-06
1.259766,6.56E-06,7.02E-06,7.13E-06,7.44E-06,7.76E-06,8.15E-06
1.264648,6.67E-06,7.14E-06,7.24E-06,7.55E-06,7.86E-06,8.23E-06
1.269531,6.79E-06,7.25E-06,7.35E-06,7.64E-06,7.95E-06,8.31E-06
1.274414,6.91E-06,7.37E-06,7.45E-06,7.74E-06,8.04E-06,8.39E-06
1.279297,7.04E-06,7.48E-06,7.56E-06,7.84E-06,8.12E-06,8.47E-06
1.28418,7.17E-06,7.59E-06,7.66E-06,7.94E-06,8.22E-06,8.58E-06
1.289063,7.31E-06,7.71E-06,7.77E-06,8.04E-06,8.32E-06,8.69E-06
1.293945,7.46E-06,7.84E-06,7.89E-06,8.16E-06,8.44E-06,8.83E-06
1.298828,7.63E-06,7.98E-06,8.02E-06,8.29E-06,8.57E-06,9E-06
