E (V),Av. I2 0uL,Av. I2 30uL,Av. I2 40uL,Av. I2 50uL,Av. I2 60uL,Av. I2 70uL
1.191406,4.32E-06,4.49E-06,4.57E-06,4.78E-06,5.06E-06,5.35E-06
1.196289,4.4E-06,4.58E-06,4.67E-06,4.89E-06,5.17E-06,5.47E-06
1.201172,4.48E-06,4.68E-06,4.77E-06,5E-06,5.28E-06,5.58E-06
1.206055,4.57E-06,4.78E-06,4.87E-06,5.1E-06,5.39E-06,5.7E-06
1.210938,4.66E-06,4.88E-06,4.97E-06,5.21E-06,5.5E-06,5.81E-06
1.21582,4.76E-06,4.98E-06,5.08E-06,5.32E-06,5.62E-06,5.93E-06
1.220703,4.86E-06,5.08E-06,5.18E-06,5.43E-06,5.73E-06,6.04E-06
1.225586,4.96E-06,5.19E-06,5.29E-06,5.54E-06,5.84E-06,6.15E-06
1.230469,5.07E-06,5.3E-06,5.4E-06,5.65E-06,5.95E-06,6.26E-06
1.235352,5.18E-06,5.41E-06,5.51E-06,5.77E-06,6.06E-06,6.37E-06
1.240234,5.29E-06,5.52E-06,5.62E-06,5.88E-06,6.17E-06,6.48E-06
1.245117,5.41E-06,5.64E-06,5.74E-06,6E-06,6.29E-06,6.59E-06
1.25,5.53E-06,5.76E-06,5.86E-06,6.12E-06,6.41E-06,6.7E-06
1.254883,5.65E-06,5.88E-06,5.99E-06,6.25E-06,6.53E-06,6.82E-06
1.259766,5.78E-06,6.01E-06,6.12E-06,6.38E-06,6.66E-06,6.94E-06
1.264648,5.92E-06,6.14E-06,6.25E-06,6.51E-06,6.79E-06,7.07E-06
1.269531,6.06E-06,6.28E-06,6.4E-06,6.66E-06,6.94E-06,7.22E-06
1.274414,6.22E-06,6.42E-06,6.56E-06,6.82E-06,7.09E-06,7.37E-06
1.279297,6.38E-06,6.58E-06,6.72E-06,6.99E-06,7.26E-06,7.54E-06
1.28418,6.55E-06,6.75E-06,6.9E-06,7.17E-06,7.45E-06,7.73E-06
1.289063,6.74E-06,6.93E-06,7.09E-06,7.37E-06,7.65E-06,7.94E-06
1.293945,6.93E-06,7.12E-06,7.3E-06,7.59E-06,7.88E-06,8.17E-06
1.298828,7.14E-06,7.33E-06,7.53E-06,7.82E-06,8.12E-06,8.42E-06
