E (V),Av. I2 0uL,Av. I2 30uL,Av. I2 40uL,Av. I2 50uL,Av. I2 60uL,Av. I2 70uL
0.1269531,1.54E-07,3.3E-07,3.94E-07,4.89E-07,5.67E-07,6.18E-07
0.1318359,1.58E-07,3.45E-07,4.17E-07,5.18E-07,6.07E-07,6.7E-07
0.1367188,1.62E-07,3.61E-07,4.4E-07,5.53E-07,6.58E-07,7.3E-07
0.1416016,1.66E-07,3.79E-07,4.67E-07,5.92E-07,7.13E-07,7.98E-07
0.1464844,1.7E-07,3.98E-07,4.97E-07,6.36E-07,7.75E-07,8.7E-07
0.1513672,1.75E-07,4.19E-07,5.28E-07,6.83E-07,8.35E-07,9.4E-07
0.15625,1.79E-07,4.41E-07,5.62E-07,7.3E-07,8.94E-07,9.99E-07
0.1611328,1.83E-07,4.63E-07,5.97E-07,7.75E-07,9.4E-07,1.04E-06
0.1660156,1.88E-07,4.85E-07,6.29E-07,8.12E-07,9.73E-07,1.06E-06
0.1708984,1.92E-07,5.08E-07,6.61E-07,8.38E-07,9.85E-07,1.06E-06
0.1757813,1.97E-07,5.28E-07,6.86E-07,8.53E-07,9.81E-07,1.04E-06
0.1806641,2.01E-07,5.46E-07,7.05E-07,8.58E-07,9.62E-07,1E-06
0.1855469,2.05E-07,5.61E-07,7.15E-07,8.49E-07,9.31E-07,9.58E-07
0.1904297,2.1E-07,5.72E-07,7.19E-07,8.32E-07,8.96E-07,9.11E-07
0.1953125,2.14E-07,5.79E-07,7.15E-07,8.09E-07,8.56E-07,8.64E-07
0.2001953,2.18E-07,5.81E-07,7.06E-07,7.84E-07,8.17E-07,8.21E-07
0.2050781,2.22E-07,5.81E-07,6.91E-07,7.55E-07,7.8E-07,7.81E-07
0.2099609,2.26E-07,5.77E-07,6.76E-07,7.28E-07,7.47E-07,7.5E-07
0.2148438,2.3E-07,5.7E-07,6.59E-07,7.02E-07,7.2E-07,7.21E-07
0.2197266,2.34E-07,5.63E-07,6.44E-07,6.81E-07,6.96E-07,7E-07
0.2246094,2.38E-07,5.55E-07,6.27E-07,6.61E-07,6.77E-07,6.83E-07
0.2294922,2.42E-07,5.48E-07,6.12E-07,6.46E-07,6.61E-07,6.7E-07
0.234375,2.47E-07,5.4E-07,6E-07,6.32E-07,6.49E-07,6.61E-07
0.2392578,2.51E-07,5.32E-07,5.91E-07,6.23E-07,6.4E-07,6.54E-07
0.2441406,2.54E-07,5.27E-07,5.83E-07,6.15E-07,6.33E-07,6.5E-07
0.2490234,2.59E-07,5.23E-07,5.76E-07,6.12E-07,6.28E-07,6.47E-07
0.2539063,2.63E-07,5.2E-07,5.73E-07,6.08E-07,6.26E-07,6.46E-07
0.2587891,2.67E-07,5.18E-07,5.71E-07,6.07E-07,6.26E-07,6.47E-07
0.2636719,2.71E-07,5.18E-07,5.7E-07,6.07E-07,6.26E-07,6.5E-07
0.2685547,2.75E-07,5.17E-07,5.71E-07,6.07E-07,6.29E-07,6.54E-07
0.2734375,2.8E-07,5.2E-07,5.72E-07,6.09E-07,6.31E-07,6.58E-07
0.2783203,2.84E-07,5.21E-07,5.74E-07,6.12E-07,6.35E-07,6.62E-07
0.2832031,2.89E-07,5.25E-07,5.77E-07,6.15E-07,6.4E-07,6.7E-07
0.2880859,2.92E-07,5.28E-07,5.8E-07,6.2E-07,6.46E-07,6.76E-07
0.2929688,2.97E-07,5.32E-07,5.85E-07,6.26E-07,6.52E-07,6.85E-07
0.2978516,3.01E-07,5.37E-07,5.9E-07,6.31E-07,6.6E-07,6.94E-07
0.3027344,3.06E-07,5.42E-07,5.95E-07,6.38E-07,6.67E-07,7.03E-07
0.3076172,3.1E-07,5.47E-07,6.01E-07,6.44E-07,6.76E-07,7.14E-07
0.3125,3.15E-07,5.52E-07,6.06E-07,6.51E-07,6.84E-07,7.24E-07
0.3173828,3.19E-07,5.58E-07,6.13E-07,6.58E-07,6.93E-07,7.37E-07
0.3222656,3.23E-07,5.63E-07,6.19E-07,6.67E-07,7.03E-07,7.48E-07
0.3271484,3.28E-07,5.69E-07,6.25E-07,6.74E-07,7.14E-07,7.62E-07
0.3320313,3.32E-07,5.74E-07,6.33E-07,6.85E-07,7.26E-07,7.76E-07
0.3369141,3.36E-07,5.8E-07,6.41E-07,6.95E-07,7.37E-07,7.89E-07
0.3417969,3.41E-07,5.86E-07,6.48E-07,7.05E-07,7.48E-07,8.06E-07
0.3466797,3.45E-07,5.93E-07,6.57E-07,7.14E-07,7.6E-07,8.18E-07
0.3515625,3.5E-07,6E-07,6.65E-07,7.25E-07,7.73E-07,8.35E-07
0.3564453,3.54E-07,6.06E-07,6.74E-07,7.36E-07,7.86E-07,8.51E-07
0.3613281,3.58E-07,6.13E-07,6.82E-07,7.47E-07,8E-07,8.67E-07
0.3662109,3.63E-07,6.19E-07,6.91E-07,7.57E-07,8.14E-07,8.83E-07
0.3710938,3.67E-07,6.26E-07,6.98E-07,7.68E-07,8.26E-07,9E-07
0.3759766,3.72E-07,6.32E-07,7.08E-07,7.78E-07,8.37E-07,9.14E-07
0.3808594,3.76E-07,6.39E-07,7.15E-07,7.88E-07,8.48E-07,9.27E-07
0.3857422,3.8E-07,6.45E-07,7.24E-07,7.97E-07,8.6E-07,9.39E-07
0.390625,3.85E-07,6.52E-07,7.31E-07,8.06E-07,8.69E-07,9.54E-07
0.3955078,3.88E-07,6.58E-07,7.38E-07,8.13E-07,8.76E-07,9.62E-07
0.4003906,3.93E-07,6.64E-07,7.44E-07,8.2E-07,8.84E-07,9.72E-07
0.4052734,3.97E-07,6.69E-07,7.49E-07,8.26E-07,8.91E-07,9.81E-07
0.4101563,4.01E-07,6.74E-07,7.52E-07,8.33E-07,8.97E-07,9.88E-07
0.4150391,4.05E-07,6.78E-07,7.57E-07,8.35E-07,9.03E-07,9.97E-07
0.4199219,4.1E-07,6.82E-07,7.6E-07,8.4E-07,9.08E-07,1.01E-06
